wavelength_m,power_dBm
7.80248e-07,-58.8164785
7.80256e-07,-58.1502276
7.80264e-07,-58.1456003
7.80272e-07,-59.1204561
7.8028e-07,-58.4651762
7.80288e-07,-59.1209356
7.80296e-07,-59.4736594
7.80304e-07,-59.0645331
7.80312e-07,-59.7082208
7.8032e-07,-60.1648342
7.80328e-07,-59.6406763
7.80336e-07,-60.4287456
7.80344e-07,-59.5879195
7.80352e-07,-59.6944975
7.8036e-07,-59.3725773
7.80368e-07,-59.1800162
7.80376e-07,-58.7199581
7.80384e-07,-58.9792289
7.80392e-07,-58.7534422
7.804e-07,-58.4045853
7.80408e-07,-58.1217007
7.80416e-07,-58.220523
7.80424e-07,-58.5060855
7.80432e-07,-58.2374616
7.8044e-07,-58.9949797
7.80448e-07,-58.7849309
7.80456e-07,-58.6422276
7.80464e-07,-59.1880137
7.80472e-07,-59.5576875
7.8048e-07,-59.3198477
7.80488e-07,-59.1247203
7.80496e-07,-59.454725
7.80504e-07,-59.6133176
7.80512e-07,-60.1026134
7.8052e-07,-60.0004069
7.80528e-07,-59.9056942
7.80536e-07,-60.1152464
7.80544e-07,-60.3168159
7.80552e-07,-59.9603514
7.8056e-07,-60.2798977
7.80568e-07,-61.5421692
7.80576e-07,-61.3272401
7.80584e-07,-60.0795515
7.80592e-07,-60.8095382
7.806e-07,-60.0418931
7.80608e-07,-59.7129372
7.80616e-07,-60.6780354
7.80624e-07,-60.1110916
7.80632e-07,-60.2503083
7.8064e-07,-60.6087775
7.80648e-07,-61.0225252
7.80656e-07,-61.0439813
7.80664e-07,-61.1290581
7.80672e-07,-61.6851827
7.8068e-07,-61.2764134
7.80688e-07,-61.6372383
7.80696e-07,-61.9069132
7.80704e-07,-60.8945491
7.80712e-07,-61.111492
7.8072e-07,-60.9422731
7.80728e-07,-60.7977839
7.80736e-07,-59.9536683
7.80744e-07,-59.9636407
7.80752e-07,-60.8176535
7.8076e-07,-60.8421179
7.80768e-07,-59.8079112
7.80776e-07,-60.336846
7.80784e-07,-60.2202371
7.80792e-07,-60.848968
7.808e-07,-61.4622719
7.80808e-07,-61.8295687
7.80816e-07,-61.1529884
7.80824e-07,-61.2425796
7.80832e-07,-60.9365879
7.8084e-07,-60.7652396
7.80848e-07,-60.8395514
7.80856e-07,-60.2118046
7.80864e-07,-59.605865
7.80872e-07,-60.2482943
7.8088e-07,-60.2128855
7.80888e-07,-60.2795077
7.80896e-07,-60.6716355
7.80904e-07,-61.0666897
7.80912e-07,-61.836069
7.8092e-07,-61.8877774
7.80928e-07,-61.4310627
7.80936e-07,-60.8903486
7.80944e-07,-60.6549369
7.80952e-07,-59.8741331
7.8096e-07,-60.2712431
7.80968e-07,-60.6887766
7.80976e-07,-60.6016054
7.80984e-07,-60.7828989
7.80992e-07,-60.9364002
7.81e-07,-61.0845997
7.81008e-07,-60.6551595
7.81016e-07,-60.9531914
7.81024e-07,-60.1437089
7.81032e-07,-60.066883
7.8104e-07,-60.2163403
7.81048e-07,-60.7613695
7.81056e-07,-61.4067482
7.81064e-07,-60.3927803
7.81072e-07,-60.9137102
7.8108e-07,-61.5374475
7.81088e-07,-61.3114642
7.81096e-07,-60.7775161
7.81104e-07,-61.5127169
7.81112e-07,-60.8085792
7.8112e-07,-61.3084636
7.81128e-07,-60.8121774
7.81136e-07,-61.0159125
7.81144e-07,-61.1787996
7.81152e-07,-60.9215507
7.8116e-07,-61.1266582
7.81168e-07,-61.014064
7.81176e-07,-61.681264
7.81184e-07,-61.0134117
7.81192e-07,-60.9331051
7.812e-07,-61.8672103
7.81208e-07,-60.9676085
7.81216e-07,-61.0196955
7.81224e-07,-61.7239575
7.81232e-07,-61.4063214
7.8124e-07,-61.2379875
7.81248e-07,-62.0946936
7.81256e-07,-63.2445647
7.81264e-07,-62.3118659
7.81272e-07,-62.5977279
7.8128e-07,-62.6585548
7.81288e-07,-63.2366329
7.81296e-07,-62.0875952
7.81304e-07,-63.2915576
7.81312e-07,-63.2911497
7.8132e-07,-61.2513172
7.81328e-07,-61.9019222
7.81336e-07,-60.5390844
7.81344e-07,-60.6037775
7.81352e-07,-60.5271396
7.8136e-07,-60.9288445
7.81368e-07,-62.1759172
7.81376e-07,-61.4228687
7.81384e-07,-62.6993955
7.81392e-07,-62.3458038
7.814e-07,-62.4317183
7.81408e-07,-63.0240349
7.81416e-07,-62.6904186
7.81424e-07,-63.0658941
7.81432e-07,-62.8574631
7.8144e-07,-63.3327514
7.81448e-07,-63.4372884
7.81456e-07,-63.0687038
7.81464e-07,-62.1893182
7.81472e-07,-61.5209911
7.8148e-07,-61.6198243
