wavelength_m,power_dBm
7.75016e-07,-33.1365011
7.75024e-07,-33.1330223
7.75032e-07,-33.105516
7.7504e-07,-33.1071824
7.75048e-07,-33.0985655
7.75056e-07,-33.0942977
7.75064e-07,-33.0476093
7.75072e-07,-32.9517546
7.7508e-07,-32.8672999
7.75088e-07,-32.7605964
7.75096e-07,-32.7111528
7.75104e-07,-32.6542746
7.75112e-07,-32.6180914
7.7512e-07,-32.5621356
7.75128e-07,-32.530646
7.75136e-07,-32.5171235
7.75144e-07,-32.5159889
7.75152e-07,-32.5014631
7.7516e-07,-32.4376084
7.75168e-07,-32.4003827
7.75176e-07,-32.3638514
7.75184e-07,-32.3876428
7.75192e-07,-32.3883615
7.752e-07,-32.3721478
7.75208e-07,-32.3773424
7.75216e-07,-32.3993379
7.75224e-07,-32.4614154
7.75232e-07,-32.4951492
7.7524e-07,-32.5019598
7.75248e-07,-32.4506997
7.75256e-07,-32.4125064
7.75264e-07,-32.3833668
7.75272e-07,-32.3678365
7.7528e-07,-32.3505801
7.75288e-07,-32.3084394
7.75296e-07,-32.2711612
7.75304e-07,-32.2479333
7.75312e-07,-32.2465273
7.7532e-07,-32.2295191
7.75328e-07,-32.182194
7.75336e-07,-32.1339212
7.75344e-07,-32.0996235
7.75352e-07,-32.0932092
7.7536e-07,-32.08602
7.75368e-07,-32.0571978
7.75376e-07,-31.9985212
7.75384e-07,-31.9659845
7.75392e-07,-31.9824916
7.754e-07,-32.0239711
7.75408e-07,-32.0567008
7.75416e-07,-32.0517487
7.75424e-07,-32.0565479
7.75432e-07,-32.0710278
7.7544e-07,-32.0949177
7.75448e-07,-32.1015202
7.75456e-07,-32.0561138
7.75464e-07,-32.0232907
7.75472e-07,-31.989082
7.7548e-07,-32.0156744
7.75488e-07,-32.0247887
7.75496e-07,-32.0304471
7.75504e-07,-31.993127
7.75512e-07,-31.9394671
7.7552e-07,-31.9319709
7.75528e-07,-31.9311169
7.75536e-07,-31.9021623
7.75544e-07,-31.8248826
7.75552e-07,-31.769132
7.7556e-07,-31.7393563
7.75568e-07,-31.7400333
7.75576e-07,-31.7389912
7.75584e-07,-31.7072598
7.75592e-07,-31.6613233
7.756e-07,-31.633439
7.75608e-07,-31.6372609
7.75616e-07,-31.6372286
7.75624e-07,-31.6224623
7.75632e-07,-31.5730959
7.7564e-07,-31.5527014
7.75648e-07,-31.5515567
7.75656e-07,-31.576702
7.75664e-07,-31.5779984
7.75672e-07,-31.5350394
7.7568e-07,-31.4942626
7.75688e-07,-31.4628214
7.75696e-07,-31.4523973
7.75704e-07,-31.4348361
7.75712e-07,-31.3771618
7.7572e-07,-31.304951
7.75728e-07,-31.2563589
7.75736e-07,-31.2448616
7.75744e-07,-31.2152059
7.75752e-07,-31.170558
7.7576e-07,-31.114573
7.75768e-07,-31.0574982
7.75776e-07,-31.0103285
7.75784e-07,-30.9823258
7.75792e-07,-30.9441143
7.758e-07,-30.8913609
7.75808e-07,-30.8632607
7.75816e-07,-30.8429909
7.75824e-07,-30.8513494
7.75832e-07,-30.8397061
7.7584e-07,-30.8162393
7.75848e-07,-30.7778538
7.75856e-07,-30.7385563
7.75864e-07,-30.7378395
7.75872e-07,-30.7550679
7.7588e-07,-30.7595957
7.75888e-07,-30.7314194
7.75896e-07,-30.7289849
7.75904e-07,-30.7302475
7.75912e-07,-30.7533322
7.7592e-07,-30.7359737
7.75928e-07,-30.6947821
7.75936e-07,-30.6663956
7.75944e-07,-30.6270753
7.75952e-07,-30.6149785
7.7596e-07,-30.5843109
7.75968e-07,-30.5361457
7.75976e-07,-30.4791086
7.75984e-07,-30.4299347
7.75992e-07,-30.4123426
7.76e-07,-30.3776901
7.76008e-07,-30.3518294
7.76016e-07,-30.306709
7.76024e-07,-30.2769888
7.76032e-07,-30.2739607
7.7604e-07,-30.2767034
7.76048e-07,-30.2740874
7.76056e-07,-30.2543186
7.76064e-07,-30.2469855
7.76072e-07,-30.2514267
7.7608e-07,-30.281485
7.76088e-07,-30.2911981
7.76096e-07,-30.2891617
7.76104e-07,-30.2909314
7.76112e-07,-30.3107437
7.7612e-07,-30.3455404
7.76128e-07,-30.3682739
7.76136e-07,-30.3743604
7.76144e-07,-30.3558883
7.76152e-07,-30.3468911
7.7616e-07,-30.3579928
7.76168e-07,-30.3791534
7.76176e-07,-30.3894973
7.76184e-07,-30.3616463
7.76192e-07,-30.3532844
7.762e-07,-30.338027
7.76208e-07,-30.3448711
7.76216e-07,-30.3186446
7.76224e-07,-30.2825551
7.76232e-07,-30.2380186
7.7624e-07,-30.2228636
7.76248e-07,-30.250159
7.76256e-07,-30.2676784
7.76264e-07,-30.2814628
7.76272e-07,-30.2779371
7.7628e-07,-30.2858171
7.76288e-07,-30.301529
7.76296e-07,-30.338161
7.76304e-07,-30.3636837
7.76312e-07,-30.3610558
7.7632e-07,-30.3754917
7.76328e-07,-30.3784461
7.76336e-07,-30.404041
7.76344e-07,-30.4088552
7.76352e-07,-30.3878548
7.7636e-07,-30.3541636
7.76368e-07,-30.3310031
7.76376e-07,-30.3251219
7.76384e-07,-30.2924919
7.76392e-07,-30.2464403
7.764e-07,-30.1936904
7.76408e-07,-30.1458719
7.76416e-07,-30.1059114
7.76424e-07,-30.0832649
7.76432e-07,-30.0641105
7.7644e-07,-30.0233682
7.76448e-07,-29.9983543
7.76456e-07,-29.9871008
7.76464e-07,-30.0019334
7.76472e-07,-30.0084062
7.7648e-07,-30.0062452
7.76488e-07,-29.9860588
